entrez_id,symbol
55291,PPP6R3
25865,PRKD2
10367,MICU1
3626,INHBC
9748,SLK
1999,ELF3
84902,CEP89
101927853,LOC101927853
6324,SCN1B
5705,PSMC5
27341,RRP7A
6814,STXBP3
222235,FBXL13
10184,LHFPL2
1411,CRYBA1
51433,ANAPC5
105379046,LOC105379046
374860,ANKRD30B
105378260,LOC105378260
57555,NLGN2
84314,TMEM107
7784,ZP3
124944,C17orf49
160492,LMNTD1
5133,PDCD1
3490,IGFBP7
23431,AP4E1
26150,RIBC2
100288465,FAM197Y10
9612,NCOR2
2887,GRB10
79668,PARP8
100996335,LOC100996335
8993,PGLYRP1
220,ALDH1A3
166824,RASSF6
339145,FAM92B
100131980,ZNF705G
144406,WDR66
5569,PKIA
55607,PPP1R9A
65982,ZSCAN18
54988,ACSM5
26586,CKAP2
11072,DUSP14
2299,FOXI1
79080,CCDC86
148266,ZNF569
139628,FOXR2
105371566,LOC105371566
100506388,LOC100506388
7045,TGFBI
81932,HDHD3
10500,SEMA6C
3775,KCNK1
147694,ZNF548
9881,TRANK1
1108,CHD4
220929,ZNF438
119559,SFXN4
6457,SH3GL3
65268,WNK2
7110,TMF1
55876,GSDMB
4111,MAGEA12
3187,HNRNPH1
79968,WDR76
105373057,LOC105373057
2568,GABRP
51582,AZIN1
79365,BHLHE41
112849,L3HYPDH
941,CD80
57688,ZSWIM6
23447,CDW93
83844,USP26
5266,PI3
64077,LHPP
386618,KCTD4
10769,PLK2
3020,H3F3A
5621,PRNP
79801,SHCBP1
9142,TMEM257
353,APRT
22859,ADGRL1
7345,UCHL1
223117,SEMA3D
338675,OR5AP2
388697,HRNR
28981,IFT81
137814,NKX2-6
55740,ENAH
5099,PCDH7
11221,DUSP10
8554,PIAS1
1829,DSG2
200909,HTR3D
125981,ACER1
6154,RPL26
63941,NECAB3
101929601,LOC101929601
4123,MAN2C1
206412,C6orf163
266743,NPAS4
54549,SDK2
441024,MTHFD2L
353140,LCE2C
10633,RASL10A
3908,LAMA2
1241,LTB4R
51279,C1RL
105371127,LOC105371127
638,BIK
254879,OR2T6
346288,SEPT14
388561,ZNF761
119692,OR51S1
6606,SMN1
83541,FAM110A
730112,FAM166B
27243,CHMP2A
5987,TRIM27
3320,HSP90AA1
53358,SHC3
80117,ARL14
9442,MED27
2717,GLA
8839,WISP2
50,ACO2
51096,UTP18
105374693,LOC105374693
92345,NAF1
390037,OR52I1
100862847,USP17L
64210,MMS19
55437,STRADB
27035,NOX1
4796,TONSL
81577,GFOD2
105372015,LOC105372015
160857,CCDC122
100532726,NDUFC2-KCTD14
161829,EXD1
22992,KDM2A
147339,C18orf25
7494,XBP1
29114,TAGLN3
6875,TAF4B
56897,WRNIP1
28511,NKIRAS2
4208,MEF2C
55270,NUDT15
89778,SERPINB11
25844,YIPF3
10330,CNPY2
3605,IL17A
8703,B4GALT3
1962,EHHADH
219738,C10orf35
100129393,LOC100129393
84865,CCDC142
643677,CCDC168
6303,SAT1
101927160,LOC101927160
90987,ZNF251
5684,PSMA3
54682,MANSC1
140290,TCP10L
27304,MOCS3
149603,RNF187
4041,LRP5
10163,WASF2
1390,CREM
51412,ACTL6B
771,CA12
57534,MIB1
84293,FAM213A
23277,CLUH
7763,ZFAND5
257019,FRMD3
6120,RPE
56158,TEX12
440585,FAM183A
2850,GPR27
79647,AKIRIN1
8972,MGAM
199,AIF1
100134938,UPK3BL
91875,TTC5
64359,NXN
730094,C16orf52
2633,GBP1
4929,NR4A2
54967,CT55
11051,NUDT21
6776,STAT5A
1659,DHX8
102723330,LOC102723330
7627,ZNF75A
101927506,LOC101927506
7008,TEF
57046,HRES2
345079,SOWAHB
4357,MPST
170961,ANKRD24
89927,C16orf45
474354,LRRC18
25977,NECAP1
10479,SLC9A6
3738,KCNA3
23426,GRIP1
147657,ZNF480
9860,LRIG2
1087,CEACAM7
167691,LCA5
201191,SAMD14
136263,SSMEM1
83990,BRIP1
388407,C17orf82
91120,ZNF682
283475,LOC283475
143630,UBQLNL
5817,PVR
162333,MARCH10
3166,HMX1
54212,SNTG1
1523,CUX1
51545,ZNF581
121601,ANO4
904,CCNT1
105369766,LOC105369766
23410,SIRT3
730394,GTF2H2C_2
5245,PHB
4626,MYH8
403313,PPAPDC2
26262,TSPAN17
148545,NBPF4
9724,UTP14C
2999,GZMH
414061,DNAJB3
79780,CCDC82
100506667,LOC100506667
332,BIRC5
5818,PVRL1
22838,RNF44
7324,UBE2E1
6705,SPRR2F
55719,FAM178A
442194,OR10C1
5078,PAX4
100462977,MTRNR2L1
55100,WDR70
11184,MAP4K1
79192,IRX1
8533,COPS3
132864,CPEB2
94103,ORMDL3
128611,ZNF831
101927655,ZASP
7157,TP53
63904,DUSP21
57179,KIAA1191
152100,CMC1
4490,MT1B
54512,EXOSC4
90060,CCDC120
10612,TRIM3
3887,KRT81
6623,SNCG
9993,DGCR2
64282,PAPD5
23107,MRPS27
6569,SLC34A1
80195,TMEM254
387921,NHLRC3
5966,REL
171546,SPTSSA
3299,HSF4
102724970,LOC102724970
728715,LOC728715
9421,HAND1
619279,ZNF704
8802,SUCLG1
29,ABR
51075,TMX2
8045,RASSF7
64792,IFT22
105369280,LOC105369280
5378,PMS1
22854,NTNG1
4775,NFATC3
54797,MED18
81556,VWA9
10881,ACTL7A
2108,ETFA
100129098,LOC100129098
101927955,LOC101927955
154043,CNKSR3
400673,VMAC
29093,MRPL22
6854,SYN2
55233,MOB1A
25823,TPSG1
10309,CCNO
8666,EIF3G
85463,ZC3H12C
11060,WWP2
113246,C12orf57
84844,PHF5A
105376909,LOC105376909
127933,UHMK1
5663,PSEN1
27283,TINAG
81929,SEH1L
10745,PHTF1
342945,ZSCAN22
203100,HTRA4
10142,AKAP9
1353,COX11
55116,TMEM39B
57497,LRFN2
84256,FLYWCH1
23240,KIAA0922
327657,SERPINA9
90378,SAMD1
56121,PCDHB15
100131195,LOC100131195
116534,MRGPRE
102725034,LOC102725034
102724229,LOC102724229
220074,LRTOMT
9554,SEC22B
2829,XCR1
100128795,LOC100128795
162,AP1B1
389125,MUSTN1
147015,DHRS13
8178,ELL
5527,PPP2R5C
196996,GRAMD2
4908,NTF3
6947,TCN1
54930,HAUS4
81689,ISCA1
728276,CLEC19A
26528,DAZAP1
11030,RBPMS
2241,FER
102723912,LOC102723912
79038,ZFYVE21
10262,SF3B4
8363,HIST1H4J
1638,DCT
50636,ANO7
4520,MTF1
286272,LOC286272
84541,KBTBD8
441452,SPATA31C1
23187,PHLDB1
4320,MMP11
89890,KBTBD6
25956,SEC31B
3717,JAK2
653784,MZT2A
9839,ZEB2
1050,CEBPA
23556,PIGN
6415,SEPW1
222171,PRR15
283454,LOC283454
5796,PTPRK
55818,KDM3A
105373477,LOC105373477
2306,FOXD2
219771,CCNY
51524,TMEM138
102724197,LOC102724197
100170765,ERICH4
883,CCBL1
57646,USP28
100505591,LRRC3C
23389,MED13L
90527,DUOXA1
345930,ECT2L
5208,PFKFB2
56270,WDR45B
255488,RNF144B
11330,CTRC
3581,IL9R
10472,ZBTB18
26225,ARL5A
9703,KIAA0100
2962,GTF2F1
94233,OPN4
79759,ZNF668
9084,VCY
311,ANXA11
85865,GTPBP10
374768,SPEM1
22801,ITGA11
55079,FEZF2
11163,NUDT4
79171,RBM42
8496,PPFIBP1
85293,KRTAP3-3
100653049,LOC100653049
222487,ADGRG3
84674,CARD6
200232,FAM209A
145957,NRG4
57158,JPH2
344167,FOXI3
54491,FAM105A
96764,TGS1
10591,DNPH1
3850,KRT3
114131,UCN3
9972,NUP153
7070,THY1
940,CD28
580,BARD1
84102,SLC41A2
126375,ZNF792
23086,EXPH5
6548,SLC9A1
83483,PLVAP
337878,KRTAP7-1
116983,ACAP3
5929,RBBP5
55967,NDUFA12
151963,MB21D2
3973,LHCGR
80059,LRRTM4
140456,ASB11
51657,STYXL1
390598,SKOR1
162962,ZNF836
1016,CDH18
23522,KAT6B
64771,C6orf106
83935,TMEM133
125168,RIBIN
105369259,LOC105369259
5357,PLS1
55379,LRRC59
124565,SLC38A10
4738,NEDD8
8193,DPF1
444,ASPH
348158,ACSM2B
22950,SLC4A1AP
7436,VLDLR
283484,LOC283484
6817,SULT1A1
171389,NLRP6
259197,NCR3
4166,CHST6
55212,BBS7
10272,FSTL3
2523,FUT1
101930013,LOC101930013
113828,FAM83F
8645,KCNK5
105379539,LOC105379539
84823,LMNB2
152831,KLB
387597,ILDR2
283284,IGSF22
3175,ONECUT1
4602,MYB
81399,OR4F16
10724,MGEA5
102724646,LOC102724646
10105,PPIF
93627,TBCK
713,C1QB
57476,GRAMD1B
389676,C8orf87
29944,PNMA3
23219,FBXO28
7705,ZNF146
386724,AMIGO3
56100,PCDHGB6
9533,POLR1C
2792,GNGT1
285423,LOC285423
79589,RNF128
8914,TIMELESS
141,ADPRH
51187,RSL24D1
55512,SMPD3
142684,RAB40A
4887,NPY2R
728255,KRTAP1-4
26507,CNNM1
10993,SDS
2220,FCN2
102723891,LOC102723891
79001,VKORC1
121274,ZNF641
8342,HIST1H2BM
1601,DAB2
50615,IL21R
221303,FAM162B
340542,BEX5
64598,MOSPD3
127396,ZNF684
30832,ZNF354C
7569,ZNF182
84504,NKX6-2
4299,AFF1
124995,MRPL10
89869,PLCZ1
245806,VGLL2
10421,CD2BP2
3680,ITGA9
9802,DAZAP2
1029,CDKN2A
105379672,LOC105379672
90557,CCDC74A
283417,DPY19L2
5775,PTPN4
3108,HLA-DMA
130951,M1AP
646450,ARIH2OS
9230,RAB11B
1465,CSRP1
51503,CWC15
112770,GLMP
862,RUNX1T1
57609,DIP2B
127665,ZNF648
56300,IL36G
23352,UBR4
64601,VPS16
5187,PER1
11309,SLCO2B1
80341,BPIFB2
51161,C3orf18
9666,DZIP3
2941,GSTA4
79722,ANKRD55
9063,PIAS2
274,BIN1
7266,DNAJC7
91966,CXorf40A
338596,ST8SIA6
140735,DYNLL2
6663,SOX10
64434,NOM1
55661,DDX27
66036,MTMR9
255919,CNEP1R1
5020,OXT
23457,ABCB9
11142,PKIG
2353,FOS
1750,DLX6
58497,PRUNE
200830,LOC200830
128553,TSHZ2
7099,TLR4
57121,LPAR5
9044,BTAF1
4432,MSBP2
54470,ARMCX6
124602,KIF19
221074,SLC39A12
245939,DEFB128
10554,AGPAT1
101060341,LOC101060341
9951,HS3ST4
644504,LOC644504
285812,LOC285812
4791,NFKB2
84065,TMEM222
285193,DUSP28
6527,SLC5A4
196394,AMN1
90187,EMILIN3
5908,RAP1B
55930,MYO5C
100131004,LOC100131004
3241,HPCAL1
654348,PRAMEF16
9363,RAB33A
2638,GC
8744,TNFSF9
995,CDC25C
57758,SCUBE2
64750,SMURF2
91663,MYADM
105369238,LOC105369238
5320,PLA2G2A
64131,XYLT1
386672,KRTAP10-4
4717,NDUFC1
350383,GPR142
2050,EPHB4
79871,RPAP2
9196,KCNAB3
373856,USP41
22913,RALY
7415,VCP
29035,C16orf72
137868,SGCZ
55794,DDX28
4129,MAOB
55191,NADSYN1
343070,PRAMEF9
10251,SPRY3
100287477,LOC100287477
8608,RDH16
51512,GTSE1
105376851,LOC105376851
6208,RPS14
158297,SAXO1
80759,KHDC1
10084,PQBP1
1311,COMP
51333,ZNF771
57455,REXO1
504189,OR8U8
29923,HILPDA
23198,PSME4
83595,SOX7
105376684,LOC105376684
6041,RNASEL
100131137,BSPH1
9496,TBX4
2771,GNAI2
7351,UCP2
104,ADARB1
51166,AADAT
201232,SLC16A13
153682,LOC153682
8120,AP3B2
642843,CPSF4L
136541,PRSS58
27089,UQCRQ
4850,CNOT4
54872,PIGG
10972,TMED10
2199,FBLN2
130026,ICA1L
1580,CYP4B1
105378191,LOC105378191
30811,HUNK
6929,TCF3
56967,C14orf132
100132025,LOC100132025
89832,CHRFAM7A
25898,RCHY1
10384,BTN3A3
101060171,ARMC4P1
101930125,LOC101930125
9781,RNF144A
2016,EMX1
58160,NFE4
84935,MEDAG
257240,KLHL34
6357,CCL13
5738,PTGFRN
253970,SFTA3
3087,HHEX
10217,CTDSPL
1444,CSHL1
51466,EVL
825,CAPN3
50863,NTM
339766,MROH2A
23331,TTC28
282808,RAB40AL
5166,PDK4
113612,CYP2U1
729696,LOC729696
11272,PRR4
100463486,MTRNR2L8
80304,C2orf44
9645,MICAL2
2904,GRIN2B
79701,OGFOD3
163223,ZNF676
9026,HIP1R
780789,C1orf196
5602,MAPK10
55624,POMGNT1
100187907,TRAP
4999,ORC2
54521,WDR44
11105,PRDM7
2332,FMR1
105373226,LOC105373226
8454,CUL1
58476,TP53INP2
51751,HIGD1B
85235,HIST1H2AH
340654,LIPM
84616,KRTAP4-4
7078,TIMP3
54433,GAR1
26047,CNTNAP2
150378,FLJ30901
10533,ATG7
134864,TAAR1
9914,ATP2C2
1141,CHRNB2
93436,ARMC6
391112,OR6Y1
23647,ARFIP2
522,ATP5J
105377133,LOC105377133
6490,PMEL
138724,C9orf131
392843,IQCA1L
143684,FAM76B
5887,RAD23B
55909,BIN3
100288814,CLDN34
105373090,LOC105373090
9342,SNAP29
23649,POLA2
105372487,LOC105372487
8723,SNX4
974,CD79B
57721,METTL14
101928448,C5orf67
23464,GCAT
83877,TM2D2
105369201,LOC105369201
136371,ASB10
64110,MAGEF1
55321,TMEM74B
4680,CEACAM6
10802,SEC24A
3053,SERPIND1
79834,PEAK1
105371899,LOC105371899
9175,MAP3K13
285190,RGPD4
339327,ZNF546
201514,ZNF584
7378,UPP1
388730,TMEM81
284417,TMEM150B
6775,STAT4
55773,TBC1D23
100861540,CYP3A7-CYP3A51P
136332,LRGUK
4108,MAGEA9
55154,MSTO1
170712,COX7B2
11254,SLC6A14
200942,KLHDC8B
105370708,LOC105370708
221178,SPATA13
6578,SLCO2A1
84765,ZNF577
126014,OSCAR
6187,RPS2
63974,NEUROD6
4544,MTNR1B
360023,ZBTB41
81341,OR10W1
10666,CD226
766,CA7
10063,COX17
51296,SLC15A3
23780,APOL2
671,BPI
57418,WDR18
29902,FAM216A
23161,SNX13
88455,ANKRD13A
84272,YIPF4
102725024,LOC102725024
613211,DEFB134
80150,ASRGL1
9475,ROCK2
57599,WDR48
80019,UBTD1
8856,NR1I2
51129,ANGPTL4
7143,TNR
8099,CDK2AP1
91775,NXPE3
5432,POLR2C
27068,PPA2
4829,NMBR
54851,ANKRD49
81610,FAM83D
10951,CBX1
2162,F13A1
8284,KDM5D
1559,CYP2C9
23025,UNC13A
147372,CCBE1
6908,TBP
100132004,LOC100132004
4241,MFI2
10363,HMG20A
3638,INSIG1
105374091,LOC105374091
285556,LOC285556
9744,ACAP1
1995,ELAVL3
105379630,LOC105379630
375444,C5orf34
100505679,UBE2Q2L
84898,PLXDC2
126147,NTN5
6320,CLEC11A
353164,TAS2R42
283375,SLC39A5
5717,PSMD11
54715,RBFOX1
256130,TMEM196
254973,OR1L4
246184,CDC26
38,ACAT1
4074,M6PR
10196,PRMT3
340348,TSPAN33
57567,ZNF319
93099,DMKN
84326,C16orf13
127623,OR2B11
23310,NCAPD3
221504,ZBTB9
83707,TRPT1
5129,CDK18
26146,TRAF3IP1
140680,C20orf96
79664,ICE2
100996331,POTEB
105371729,LOC105371729
216,ALDH1A1
2915,GRM5
144402,CPNE8
5581,PRKCE
64376,IKZF5
55603,FAM46A
54984,PINX1
133383,SETD9
79092,CARD14
253461,ZBTB38
100507003,GFY
8417,STX7
51714,SELT
4698,NDUFA5
337966,KRTAP6-1
126868,MAB21L3
7041,TGFB1I1
100133220,GOLGA6L3
81928,CABLES2
89944,GLB1L2
26010,SPATS2L
101930171,LOC101930171
100130761,LOC100130761
1104,RCC1
151354,FAM84A
6469,SHH
65264,UBE2Z
105369445,LOC105369445
55872,PBK
197335,WDR90
116285,ACSM1
3199,HOXA2
79980,DSN1
2580,GAK
57700,FAM160B1
101927403,LOC101927403
23443,SLC35A3
401145,CCSER1
64073,C19orf33
55300,PI4K2B
105375302,LOC105375302
4659,PPP1R12A
10781,ZNF266
79813,EHMT1
55635,DEPDC1
9138,ARHGEF1
101928879,LOC101928879
51278,IER5
22871,NLGN1
138429,PIP5KL1
28977,MRPL42
6738,TROVE2
100861519,GDNF-AS1
5111,PCNA
55133,SRBD1
170691,ADAMTS17
81892,SLIRP
11217,AKAP2
2444,FRK
692312,PPAN-P2RY11
8566,PDXK
1825,DSC3
94120,SYTL3
101928291,LOC101928291
105370687,LOC105370687
388121,TNFAIP8L3
6166,RPL36AL
90850,ZNF598
266667,TAS2R37
54545,MTMR12
27183,VPS4A
10645,CAMKK2
3904,LAIR2
53942,CNTN5
10026,PIGK
10211,FLOT1
340178,LOC340178
23759,PPIL2
634,CEACAM1
23140,ZZEF1
399818,METTL10
56624,ASAH2
5999,RGS4
53354,PANK1
105373237,LOC105373237
9454,HOMER3
100507421,TMEM178B
8835,SOCS2
51108,METTL9
401665,OR51T1
8078,USP5
5411,PNN
64222,TOR3A
4792,NFKBIA
54830,NUP62CL
10914,PAPOLA
8263,F8A1
498,ATP5A1
201626,PDE12
285148,IAH1
7490,WT1
83401,ELOVL3
29126,CD274
6887,TAL2
55266,TMEM19
89790,SIGLEC10
25840,METTL7A
10342,TFG
3601,IL15RA
84627,ZNF469
1974,EIF4A2
85480,TSLP
119385,AGAP11
6299,SALL1
65110,UPF3A
353143,LCE3B
5680,PSG11
27316,RBMX
4053,LTBP2
80834,TAS1R2
10175,CNIH1
1386,ATF2
105372280,LOC105372280
133022,TRAM1L1
783,CACNB2
57530,CGN
50805,IRX4
84289,ING5
389730,SPATA31A6
118813,ZFYVE27
30014,SPANXA1
7775,ZNF232
90411,MCFD2
124935,SLC43A2
6132,RPL8
56154,TEX15
220107,DLEU7
80262,C16orf70
9587,MAD2L1BP
2862,MLNR
79643,CHMP6
120892,LRRK2
375287,RBM43
8968,HIST1H3F
166815,TIGD2
389158,PLSCR5
7187,TRAF3
5544,PRB3
55582,KIF27
54963,UCKL1
11063,SOX30
2274,FHL2
79071,ELOVL6
8396,PIP4K2B
1671,DEFA6
340596,LHFPL1
105378266,LOC105378266
7639,ZNF85
7020,TFAP2A
6275,S100A4
255252,LRRC57
4353,MPO
114788,CSMD3
25989,ULK3
10475,TRIM38
3750,KCND1
9925,ZBTB5
9856,KIAA0319
154661,RUNDC3B
83986,ITFG3
126259,TMIGD2
6432,SRSF7
65243,ZFP69B
5829,PXN
55851,PSENEN
158521,FMR1NB
3162,HMOX1
79959,CEP76
9284,NPIPA1
1535,CYBA
51557,LGSN
128338,DRAM2
916,CD3E
57679,ALS2
401124,DTHD1
105369159,LOC105369159
140870,WFDC6
27292,DIMT1
151827,LRRC34
5241,PGR
449519,LOC449519
440730,TRIM67
4638,MYLK
343563,OR2T29
26258,BLOC1S6
9720,CCDC144A
2995,GYPC
79776,ZFHX4
9117,SEC22C
328,APEX1
201456,FBXO15
22834,ZNF652
7320,UBE2B
28956,LAMTOR2
6717,SRI
55715,DOK4
134147,CMBL
5074,PAWR
55096,EBLN2
81871,KRTAP4-6
115509,ZNF689
114880,OSBPL6
11196,SEC23IP
105376525,LOC105376525
8529,CYP4F2
1804,DPP6
102723475,LOC102723475
155382,VPS37D
84707,BEX2
7153,TOP2A
63916,ELMO2
57191,VN1R1
144347,FAM101A
4502,MT2A
170082,TCEANC
27146,FAM184B
10608,MXD4
3883,KRT33A
53905,DUOX1
131831,ERICH6
23179,RGL1
613,BCR
84135,UTP15
388536,ZNF790
29844,TFPT
23119,HIC2
6581,SLC22A3
56603,CYP26B1
5962,RDX
171558,PTCRA
438,ASMT
2692,GHRHR
285386,TPRG1
51690,LSM7
79473,OR52N1
8814,CDKL1
25,ABL1
51087,YBX2
105378684,LOC105378684
729920,ISPD
494551,WEE2
27010,TPK1
4771,NF2
54793,KCTD9
81552,VOPP1
23149,FCHO1
10893,MMP24
2104,ESRRG
8226,HDHD1
477,ATP1A2
59272,ACE2
105371371,LOC105371371
22983,MAST1
7469,NELFA
29089,UBE2T
6850,SYK
344905,ATP13A5
117285,DEFB118
4199,ME1
55245,UQCC1
25819,CCRN4L
2556,GABRA3
1937,EEF1G
85459,CEP295
105379572,LOC105379572
105376905,LOC105376905
101059953,NPIPA8
6278,S100A7
54657,UGT1A4
27295,PDLIM3
4016,LOXL1
1365,CLDN3
259240,WFDC9
746,TMEM258
57509,MTUS1
84268,RPAIN
23252,OTUD3
7738,ZNF184
90390,MED30
56133,PCDHB2
440560,PRAMEF11
26707,OR2J2
3444,IFNA7
2825,GPR1
79622,SNRNP25
100996273,LOC100996273
174,AFP
5310,PKD1
55332,DRAM1
147011,PROCA1
8190,MIA
164127,CCDC185
105369425,LOC105369425
5523,PPP2R3A
402160,CFAP99
4904,YBX1
54942,FAM206A
11026,LILRA3
2253,FGF8
79034,C7orf26
1634,DCN
50632,CALY
24140,FTSJ1
146439,CCDC64B
400818,NBPF9
51204,TACO1
6999,TDO2
255231,MCOLN2
2100,ESR2
4332,MNDA
10454,TAB1
3713,IVL
1062,CENPE
23552,CDK20
284069,FAM171A2
196294,IMMP1L
222183,SRRM3
387763,C11orf96
159119,HSFY2
283450,HECTD4
55830,GLT8D1
343702,XKR7
3141,HLCS
54187,NANS
79922,MRM1
203245,NAIF1
158158,RASEF
9263,STK17A
51520,LARS
645864,MAGEB17
286148,DPY19L4
57642,COL20A1
376497,SLC27A1
101927345,LOC101927345
161198,CLEC14A
23385,NCSTN
164832,LONRF2
90523,MLIP
11342,RNF13
3577,CXCR1
